sample,source,condition,fq1,fq2,strand
SCL1,,SCL,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/SCL1/SCL1_1.fq.gz,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/SCL1/SCL1_2.fq.gz,0
SCL2,,SCL,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/SCL2/SCL2_1.fq.gz,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/SCL2/SCL2_2.fq.gz,0
SCL3,,SCL,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/SCL3/SCL3_1.fq.gz,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/SCL3/SCL3_2.fq.gz,0
SCR1,,SCR,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/SCR1/SCR1_1.fq.gz,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/SCR1/SCR1_2.fq.gz,0
SCR2,,SCR,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/SCR2/SCR2_1.fq.gz,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/SCR2/SCR2_2.fq.gz,0
SCR3,,SCR,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/SCR3/SCR3_1.fq.gz,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/SCR3/SCR3_2.fq.gz,0
STL1,,STL,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/STL1/STL1_1.fq.gz,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/STL1/STL1_2.fq.gz,0
STL2,,STL,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/STL2/STL2_1.fq.gz,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/STL2/STL2_2.fq.gz,0
STL3,,STL,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/STL3/STL3_1.fq.gz,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/STL3/STL3_2.fq.gz,0
STR1,,STR,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/STR1/STR1_1.fq.gz,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/STR1/STR1_2.fq.gz,0
STR2,,STR,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/STR2/STR2_1.fq.gz,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/STR2/STR2_2.fq.gz,0
STR3,,STR,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/STR3/STR3_1.fq.gz,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/STR3/STR3_2.fq.gz,0
TCL1,,TCL,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/TCL1/TCL1_1.fq.gz,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/TCL1/TCL1_2.fq.gz,0
TCL2,,TCL,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/TCL2/TCL2_1.fq.gz,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/TCL2/TCL2_2.fq.gz,0
TCL3,,TCL,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/TCL3/TCL3_1.fq.gz,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/TCL3/TCL3_2.fq.gz,0
TCR1,,TCR,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/TCR1/TCR1_1.fq.gz,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/TCR1/TCR1_2.fq.gz,0
TCR2,,TCR,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/TCR2/TCR2_1.fq.gz,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/TCR2/TCR2_2.fq.gz,0
TCR3,,TCR,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/TCR3/TCR3_1.fq.gz,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/TCR3/TCR3_2.fq.gz,0
TTL1,,TTL,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/TTL1/TTL1_1.fq.gz,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/TTL1/TTL1_2.fq.gz,0
TTL2,,TTL,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/TTL2/TTL2_1.fq.gz,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/TTL2/TTL2_2.fq.gz,0
TTL3,,TTL,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/TTL3/TTL3_1.fq.gz,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/TTL3/TTL3_2.fq.gz,0
TTR1,,TTR,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/TTR1/TTR1_1.fq.gz,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/TTR1/TTR1_2.fq.gz,0
TTR2,,TTR,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/TTR2/TTR2_1.fq.gz,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/TTR2/TTR2_2.fq.gz,0
TTR3,,TTR,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/TTR3/TTR3_1.fq.gz,/home/a/pub/ycq/data/gaopeng_rnaseq/fastqs/TTR3/TTR3_2.fq.gz,0
