source,sample,condition,fq1,fq2,strand
ab,,WT,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185525_1.fastq.gz,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185525_2.fastq.g,0
ab,,WT,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185524_1.fastq.gz,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185524_2.fastq.gz,0
ab,,WT,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185523_1.fastq.gz,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185523_2.fastq.gz,0
ab,,CrxE80A/+,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185549_1.fastq.gz,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185549_2.fastq.gz,0
ab,,CrxE80A/+,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185548_1.fastq.gz,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185548_2.fastq.gz,0
ab,,CrxE80A/+,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185547_1.fastq.gz,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185547_2.fastq.gz,0
ab,,CrxE80A/A,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185546_1.fastq.gz,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185546_2.fastq.gz,0
ab,,CrxE80A/A,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185545_1.fastq.gz,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185545_2.fastq.gz,0
ab,,CrxE80A/A,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185544_1.fastq.gz,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185544_2.fastq.gz,0
ab,,CrxK88N/+,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185543_1.fastq.gz,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185543_2.fastq.gz,0
ab,,CrxK88N/+,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185542_1.fastq.gz,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185542_2.fastq.gz,0
ab,,CrxK88N/+,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185541_1.fastq.gz,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185541_2.fastq.gz,0
ab,,CrxK88N/N,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185540_1.fastq.gz,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185540_2.fastq.gz,0
ab,,CrxK88N/N,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185539_1.fastq.gz,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185539_2.fastq.gz,0
ab,,CrxK88N/N,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185538_1.fastq.gz,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185538_2.fastq.gz,0
ab,,CrxR90W/W,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185537_1.fastq.gz,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185537_2.fastq.gz,0
ab,,CrxR90W/W,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185536_1.fastq.gz,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185536_2.fastq.gz,0
ab,,CrxR90W/W,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185535_1.fastq.gz,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185535_2.fastq.gz,0
ab,,WT,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185534_1.fastq.gz,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185534_2.fastq.gz,0
ab,,WT,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185533_1.fastq.gz,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185533_2.fastq.gz,0
ab,,WT,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185532_1.fastq.gz,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185532_2.fastq.gz,0
ab,,CrxE80A/+,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185531_1.fastq.gz,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185531_2.fastq.gz,0
ab,,CrxE80A/+,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185530_1.fastq.gz,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185530_2.fastq.gz,0
ab,,CrxE80A/+,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185529_1.fastq.gz,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185529_2.fastq.gz,0
ab,,CrxE80A/A,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185528_1.fastq.gz,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185528_2.fastq.gz,0
ab,,CrxE80A/A,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185527_1.fastq.gz,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185527_2.fastq.gz,0
ab,,CrxE80A/A,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185526_1.fastq.gz,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185526_2.fastq.gz,0
ab,,CrxK88N/+,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185522_1.fastq.gz,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185522_2.fastq.gz,0
ab,,CrxK88N/+,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185521_1.fastq.gz,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185521_2.fastq.gz,0
ab,,CrxK88N/+,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185520_1.fastq.gz,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185520_2.fastq.gz,0
ab,,CrxK88N/N,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185519_1.fastq.gz,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185519_2.fastq.gz,0
ab,,CrxK88N/N,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185518_1.fastq.gz,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185518_2.fastq.gz,0
ab,,CrxK88N/N,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185517_1.fastq.gz,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185517_2.fastq.gz,0
ab,,CrxR90W/W,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185516_1.fastq.gz,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185516_2.fastq.gz,0
ab,,CrxR90W/W,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185515_1.fastq.gz,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185515_2.fastq.gz,0
ab,,CrxR90W/W,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185514_1.fastq.gz,/home/a/pub/ycq/data/rna-seq-test-data/data3/dataSRR23185514_2.fastq.gz,0
